Mes,Día,Ending Diario,Ending Especial / Secundario,Alternative Ending,Backup Fact of the Day
Enero,1,"ON THIS DAY… on January 1, 1983, TCP/IP became the standard for Internet protocol. It was created by researchers at the DARPA (Defense Advanced Research Projects Agency) and it was originally designed for the Unix operating system. The TCP/IP model and its related protocols are now maintained by the Internet Engineering Task Force.",,,
,2,"ON THIS DAY… on January 2, 1979, Dan Bricklin and Bob Frankston, developers of the world’s first spreadsheet software, incorporate Software Arts to be the parent company for their product, VisiCalc. VisiCalc was introduced and then shipped later in the year and became the first “killer app” for the personal computer. By offering such a powerful business tool that anyone could run on their own computer, Bricklin and Frankston are credited with changing the perception of the personal computer from hobby into a business machine.",,,
,3,"ON THIS DAY… on January 3, 2009, the pseudonymous Bitcoin creator Satoshi Nakamoto mines the first 50 bitcoins, now known as the Genesis Block, six days before the initial release of the bitcoin software and launch of the cryptocurrency network. Bitcoin has become the de-facto digital currency, popular for its decentralized approach because no single entity can control, manipulate, or deactivate the currency and transactions can be highly private yet still remain secure.",,,
,4,"ON THIS DAY…  on January 4, 1959, two days after launch, the Soviet spacecraft Luna 1 becomes the first to reach the vicinity of the Moon. However due to an incorrectly timed upper stage burn during its launch, it missed the Moon, in the process becoming the first spacecraft to leave geocentric orbit.",,,
,5,"ON THIS DAY... on January 5, 1984, Richard Stallman begins work on the GNU operating system, intended to be a free UNIX-like OS. Combined with the Linux kernel, GNU/Linux is the most popular free and open-source operating system today. Believing that people should be able to freely modify the software they use, Stallman would later found the Free Software Foundation and write the GNU GPL, the most popularly used free software license.",,,
,6,"ON THIS DAY… on January 6, 2010, using a desktop computer in an academic pursuit that regularly employs multi-million dollar supercomputers, Fabrice Bellard announces he computed pi to roughly 2.7 trillion digits and reveals his methods used in accomplishing this task. At the time, the feat was a new world record.",,,
,7,"ON THIS DAY… on January 7, 1963, Ivan Sutherland introduces the Sketchpad submitting his PhD thesis to MIT. The Sketchpad, allowed direct manipulation of objects on a computer screen. Using the Sketchpad, a user could create and manipulate graphical figures with a light pen. This thesis provided the basis for later graphical user interfaces and is considered one of the seminal papers in computer science.",,,
,8,"ON THIS DAY… on January 8, 2010, it was reported that YMax Corp. will launch a new version of magicJack, the device that allowed free calls from cell phones in the home using a USB port. This invention, heavily promoted on TV, tried to compete with cellular carriers in US and Canada.",,,
,9,"ON THIS DAY… on January 9, 2009, through a posting to The Cryptography Mailing List, the pseudonymous Satoshi Nakamoto releases the first version of the Bitcoin software and launches the network of the decentralized peer-to-peer cryptocurrency. Six days earlier, Nakamoto had generated the first block of 50 bitcoins, now known as the Genesis Block. Bitcoin has slowly but steadily gained momentum as its users appreciate the fact that no one entity can control, manipulate, or deactivate the digital currency, along with it being an extremely private form of payment. Bitcoin has the potential to become “the currency of the future,” which means it could completely change the way our society functions in regards to money, government, and the economy – which basically means it could change almost everything about the way the world works. Not bad for some open source code.",,,
,10,"ON THIS DAY… on January 10, 2006, Apple Computer CEO Steve Jobs unveiled the first iMac computer based on Intel chips. This started a transition of all Apple products to Intel processors that ended later that year. Apple released a SPEC test that indicated that the processor speed of iMac G5 was two to three times faster with this change.",,,
